Country,Gender,Age,Dissatisfaction_with_democracy,Distrust_level_agianst_politicians,Dissatisfaction_with_politics,Dissatisfaction_with_economy
Republic of Korea,1,1992,2,4,3,3
Republic of Korea,1,1994,2,5,3,4
Republic of Korea,2,1994,2,3,4,4
Republic of Korea,1,1981,2,4,3,4
Republic of Korea,2,1984,5,5,4,4
Republic of Korea,2,1985,5,5,4,4
Republic of Korea,1,1968,4,4,3,4
Republic of Korea,1,1969,2,4,2,2
Republic of Korea,2,1969,2,4,4,4
Republic of Korea,1,1963,4,3,3,4
Republic of Korea,2,1964,4,4,3,4
Republic of Korea,2,1965,2,5,3,4
Republic of Korea,1,1953,4,5,2,4
Republic of Korea,2,1950,4,5,3,4
Republic of Korea,2,1952,4,5,3,4
Republic of Korea,1,1995,2,4,2,3
Republic of Korea,1,1990,2,2,3,4
Republic of Korea,2,1994,4,3,3,3
Republic of Korea,1,1983,2,3,3,4
Republic of Korea,2,1980,2,4,3,4
Republic of Korea,1,1968,5,2,4,4
Republic of Korea,2,1968,2,2,3,3
Republic of Korea,1,1962,4,4,3,4
Republic of Korea,2,1961,2,2,2,3
Republic of Korea,2,1963,2,4,2,3
Republic of Korea,2,1953,2,3,3,4
Republic of Korea,2,1953,4,3,3,3
Republic of Korea,1,1990,4,3,3,4
Republic of Korea,1,1994,4,4,3,4
Republic of Korea,2,1989,4,3,3,4
Republic of Korea,1,1979,4,4,4,4
Republic of Korea,2,1982,2,4,2,4
Republic of Korea,2,1979,4,4,3,4
Republic of Korea,1,1972,2,3,2,4
Republic of Korea,1,1971,4,4,3,4
Republic of Korea,2,1971,2,3,2,4
Republic of Korea,1,1963,2,3,2,4
Republic of Korea,2,1961,2,3,2,3
Republic of Korea,2,1963,4,4,3,4
Republic of Korea,1,1953,2,3,2,3
Republic of Korea,2,1954,4,4,3,4
Republic of Korea,2,1952,2,4,2,3
Republic of Korea,1,1990,2,4,3,4
Republic of Korea,1,1992,4,5,3,4
Republic of Korea,2,1991,2,4,3,4
Republic of Korea,1,1980,2,5,3,4
Republic of Korea,2,1982,4,4,4,4
Republic of Korea,2,1981,2,4,3,4
Republic of Korea,1,1968,4,5,3,4
Republic of Korea,1,1970,2,4,3,4
Republic of Korea,2,1968,2,4,3,4
Republic of Korea,1,1963,2,4,3,4
Republic of Korea,2,1958,2,5,3,4
Republic of Korea,2,1962,2,4,3,4
Republic of Korea,1,1953,2,3,2,4
Republic of Korea,2,1953,4,5,3,4
Republic of Korea,2,1951,4,2,2,4
Republic of Korea,1,1989,2,4,2,4
Republic of Korea,1,1988,2,3,3,4
Republic of Korea,2,1988,2,3,2,3
Republic of Korea,1,1978,4,4,3,4
Republic of Korea,2,1980,2,4,4,4
Republic of Korea,2,1978,2,5,3,4
Republic of Korea,1,1971,2,4,4,4
Republic of Korea,1,1974,2,3,2,3
Republic of Korea,2,1971,4,1,3,4
Republic of Korea,1,1961,4,4,3,4
Republic of Korea,2,1964,2,3,2,4
Republic of Korea,2,1965,2,4,4,4
Republic of Korea,1,1953,2,3,2,4
Republic of Korea,2,1954,4,4,4,4
Republic of Korea,2,1951,4,4,4,4
Republic of Korea,1,1993,4,3,4,4
Republic of Korea,2,1989,2,4,3,4
Republic of Korea,1,1984,4,4,4,4
Republic of Korea,2,1982,4,2,3,4
Republic of Korea,1,1970,4,4,4,4
Republic of Korea,1,1974,4,4,3,4
Republic of Korea,2,1972,4,4,3,4
Republic of Korea,1,1964,4,4,4,4
Republic of Korea,2,1964,4,5,4,4
Republic of Korea,2,1958,4,5,3,4
Republic of Korea,1,1953,4,4,3,4
Republic of Korea,1,1951,4,5,3,4
Republic of Korea,2,1951,5,2,4,4
Republic of Korea,2,1948,2,3,2,4
Republic of Korea,1,1989,2,4,2,3
Republic of Korea,1,1990,4,3,3,3
Republic of Korea,2,1992,4,3,3,3
Republic of Korea,1,1982,4,3,3,3
Republic of Korea,2,1979,2,3,2,3
Republic of Korea,2,1981,4,3,3,3
Republic of Korea,1,1967,4,3,3,3
Republic of Korea,1,1969,2,4,3,3
Republic of Korea,2,1970,4,4,2,3
Republic of Korea,1,1961,5,4,4,4
Republic of Korea,2,1964,4,4,3,3
Republic of Korea,2,1963,4,3,3,3
Republic of Korea,1,1953,2,2,2,3
Republic of Korea,2,1950,2,3,2,3
Republic of Korea,2,1951,2,2,2,4
Republic of Korea,1,1988,2,4,2,3
Republic of Korea,1,1994,2,4,2,3
Republic of Korea,2,1994,2,1,2,3
Republic of Korea,1,1978,2,3,3,4
Republic of Korea,2,1978,2,3,2,3
Republic of Korea,2,1978,2,3,2,4
Republic of Korea,1,1970,2,4,2,4
Republic of Korea,1,1970,4,5,4,4
Republic of Korea,2,1968,2,4,2,4
Republic of Korea,1,1963,2,4,4,3
Republic of Korea,2,1965,2,4,2,3
Republic of Korea,2,1965,4,3,3,4
Republic of Korea,1,1956,2,3,3,4
Republic of Korea,2,1956,2,4,2,4
Republic of Korea,2,1955,2,3,2,4
Republic of Korea,1,1993,2,3,3,4
Republic of Korea,1,1989,2,3,2,3
Republic of Korea,2,1992,2,5,4,4
